date,number
2025-01-26,1260245
2025-01-27,1264206
2025-01-28,1268253
2025-01-29,1272619
2025-01-30,1276187
2025-01-31,1280051
2025-02-01,1283352
2025-02-02,1287864
2025-02-03,1291836
2025-02-04,1295987
2025-02-05,1299861
2025-02-06,1303786
2025-02-07,1307500
2025-02-08,1310927
2025-02-09,1314629
2025-02-10,1318563
2025-02-11,1323229
2025-02-12,1327243
2025-02-13,1331399
2025-02-14,1334509
2025-02-15,1336938
2025-02-16,1339431
2025-02-17,1342942
2025-02-18,1346617
2025-02-19,1349922
2025-02-20,1353237
2025-02-21,1356177
2025-02-22,1358928
2025-02-23,1361826
2025-02-24,1365263
2025-02-25,1368349
2025-02-26,1371652
2025-02-27,1374678
2025-02-28,1377931
2025-03-01,1380666
2025-03-02,1383440
2025-03-03,1386357
2025-03-04,1389621
2025-03-05,1392660
2025-03-06,1395647
2025-03-07,1398340
2025-03-08,1401011
2025-03-09,1403856
2025-03-10,1406762
2025-03-11,1409680
2025-03-12,1412839
2025-03-13,1416111
2025-03-14,1419482
2025-03-15,1421914
2025-03-16,1424540
2025-03-17,1427727
2025-03-18,1430993
2025-03-19,1434499
2025-03-20,1437966
2025-03-21,1440943
2025-03-22,1443397
2025-03-23,1446596
2025-03-24,1449918
2025-03-25,1453719
2025-03-26,1458003
2025-03-27,1461769
2025-03-28,1465499
2025-03-29,1468328
2025-03-30,1471284
2025-03-31,1474545
2025-04-01,1478367
2025-04-02,1481980
2025-04-03,1485934
2025-04-04,1489859
2025-04-05,1492818
2025-04-06,1496320
2025-04-07,1500054
2025-04-08,1503964
2025-04-09,1507388
2025-04-10,1510999
2025-04-11,1514517
2025-04-12,1517520
2025-04-13,1520602
2025-04-14,1523943
2025-04-15,1527284
2025-04-16,1530441
2025-04-17,1533747
2025-04-18,1536965
2025-04-19,1539622
2025-04-20,1542466
2025-04-21,1545808
2025-04-22,1549778
2025-04-23,1553430
2025-04-24,1557410
2025-04-25,1560958
2025-04-26,1564088
2025-04-27,1567299
2025-04-28,1571190
2025-04-29,1575033
2025-04-30,1578909
2025-05-01,1582427
2025-05-02,1585895
2025-05-03,1589031
2025-05-04,1592116
2025-05-05,1595725
2025-05-06,1599537
2025-05-07,1602802
2025-05-08,1606120
2025-05-09,1609597
2025-05-10,1613285
2025-05-11,1616566
2025-05-12,1620124
2025-05-13,1624349
2025-05-14,1629062
2025-05-15,1633718
2025-05-16,1637247
2025-05-17,1639986
2025-05-18,1643105
2025-05-19,1647102
2025-05-20,1651271
2025-05-21,1654707
2025-05-22,1658405
2025-05-23,1662023
2025-05-24,1665328
2025-05-25,1668512
2025-05-26,1671713
2025-05-27,1675424
2025-05-28,1678692
2025-05-29,1682050
2025-05-30,1685564
2025-05-31,1687976
2025-06-01,1690453
2025-06-02,1694103
2025-06-03,1697574
2025-06-04,1700929
2025-06-05,1704099
2025-06-06,1707372
2025-06-07,1709959
2025-06-08,1712436
2025-06-09,1715599
2025-06-10,1719081
2025-06-11,1721851
2025-06-12,1724881
2025-06-13,1727565
2025-06-14,1730175
2025-06-15,1733130
2025-06-16,1736032
2025-06-17,1739225
2025-06-18,1741827
2025-06-19,1744408
2025-06-20,1746790
2025-06-21,1748423
2025-06-22,1750163
2025-06-23,1752583
2025-06-24,1755152
2025-06-25,1757840
2025-06-26,1760764
2025-06-27,1763610
2025-06-28,1765949
2025-06-29,1768277
2025-06-30,1770895
2025-07-01,1773362
2025-07-02,1776028
2025-07-03,1778818
2025-07-04,1780959
2025-07-05,1783356
2025-07-06,1785536
2025-07-07,1788706
2025-07-08,1791531
2025-07-09,1794126
2025-07-10,1797139
2025-07-11,1799863
2025-07-12,1801835
2025-07-13,1803573
2025-07-14,1805851
2025-07-15,1808467
2025-07-16,1811397
2025-07-17,1814343
2025-07-18,1816991
2025-07-19,1818928
2025-07-20,1820929
2025-07-21,1823564
2025-07-22,1826516
2025-07-23,1829605
2025-07-24,1832651
2025-07-25,1835143
2025-07-26,1837139
2025-07-27,1839177
2025-07-28,1841560
2025-07-29,1843946
2025-07-30,1846479
2025-07-31,1849075
2025-08-01,1851405
2025-08-02,1853211
2025-08-03,1855199
2025-08-04,1857673
2025-08-05,1860403
2025-08-06,1863191
2025-08-07,1865867
2025-08-08,1868088
2025-08-09,1870030
2025-08-10,1872471
2025-08-11,1876042
2025-08-12,1879387
2025-08-13,1882357
2025-08-14,1885107
2025-08-15,1888576
2025-08-16,1891841
2025-08-17,1894439
2025-08-18,1897951
2025-08-19,1902002
2025-08-20,1905653
2025-08-21,1909505
2025-08-22,1913367
2025-08-23,1916918
2025-08-24,1920630
2025-08-25,1925362
2025-08-26,1929617
2025-08-27,1933936
2025-08-28,1937707
2025-08-29,1941317
2025-08-30,1944352
2025-08-31,1946990
2025-09-01,1950556
2025-09-02,1953958
2025-09-03,1956993
2025-09-04,1960097
2025-09-05,1963138
2025-09-06,1965565
2025-09-07,1967927
2025-09-08,1971078
2025-09-09,1973961
2025-09-10,1977010
2025-09-11,1979821
2025-09-12,1982329
2025-09-13,1984525
2025-09-14,1986609
2025-09-15,1989846
2025-09-16,1993040
2025-09-17,1995725
2025-09-18,1998725
2025-09-19,2001780
2025-09-20,2004576
2025-09-21,2006764
2025-09-22,2009717
2025-09-23,2012896
2025-09-24,2015688
2025-09-25,2018283
2025-09-26,2021028
2025-09-27,2022826
2025-09-28,2024880
2025-09-29,2027593
2025-09-30,2030063
2025-10-01,2032883
2025-10-02,2035181
2025-10-03,2037957
2025-10-04,2039814
2025-10-05,2041787
2025-10-06,2044049
2025-10-07,2046694
2025-10-08,2049235
2025-10-09,2052537
2025-10-10,2055739
2025-10-11,2058604
2025-10-12,2061525
2025-10-13,2064817
2025-10-14,2068676
2025-10-15,2071919
2025-10-16,2075898
2025-10-17,2079856
2025-10-18,2082606
2025-10-19,2085492
2025-10-20,2087817
2025-10-21,2090682
2025-10-22,2094225
2025-10-23,2098071
2025-10-24,2101737
2025-10-25,2105973
2025-10-26,2110100
2025-10-27,2114723
2025-10-28,2119458
2025-10-29,2124388
2025-10-30,2129487
2025-10-31,2134560
2025-11-01,2138946
2025-11-02,2143640
2025-11-03,2148462
2025-11-04,2153229
2025-11-05,2157849
2025-11-06,2162999
2025-11-07,2168079
2025-11-08,2172794
2025-11-09,2177839
